2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.480 | Serve Queue Started, Master pid is: 11668.
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.589 | task(8) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.595 | task(9) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.600 | task(10) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.606 | task(11) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.611 | task(12) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.616 | task(13) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.622 | task(14) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.627 | task(15) Started,log(info).
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.633 | worker(5) Started,log(info)
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.637 | worker(7) Started,log(info)
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.641 | worker(6) Started,log(info)
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.645 | worker(2) Started,log(info)
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.649 | worker(0) Started,log(info)
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.653 | worker(1) Started,log(info)
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.656 | worker(4) Started,log(info)
2019-05-24 18:19:48 | INFO | 11668 | 5ce7c5446ca9e | 1558693188.660 | worker(3) Started,log(info)
2019-05-24 18:19:57 | INFO | 11731 | 5ce7c54d163ce | 1558693197.95 | Serve 服务已运行, 主进程PID: 11668.
2019-05-24 18:20:08 | INFO | 11776 | 5ce7c555f0f10 | 1558693208.991 | Serve 服务已停止.
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.555 | Serve Queue Started, Master pid is: 11975.
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.665 | task(8) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.671 | task(9) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.678 | task(10) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.684 | task(11) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.691 | task(12) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.698 | task(13) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.704 | task(14) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.711 | task(15) Started,log(info).
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.718 | worker(0) Started,log(info)
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.722 | worker(1) Started,log(info)
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.727 | worker(2) Started,log(info)
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.732 | worker(3) Started,log(info)
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.737 | worker(4) Started,log(info)
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.741 | worker(5) Started,log(info)
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.746 | worker(6) Started,log(info)
2019-05-24 18:21:41 | INFO | 11975 | 5ce7c5b57fac5 | 1558693301.751 | worker(7) Started,log(info)
2019-05-24 18:21:51 | DEBUG | 11975 | 5ce7c5b57fac5 | 1558693311.540 | task (11978), succeeded (2018101712578956648853274).
2019-05-24 18:21:52 | DEBUG | 11975 | 5ce7c5b57fac5 | 1558693312.539 | task (11979), succeeded (2018101712578956648502907).
2019-05-24 18:21:53 | DEBUG | 11975 | 5ce7c5b57fac5 | 1558693313.540 | task (11980), succeeded (2018101712578956648437053).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.84 | Serve Queue Started, Master pid is: 12123.
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.196 | task(8) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.205 | task(9) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.212 | task(10) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.218 | task(11) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.225 | task(12) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.231 | task(13) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.237 | task(14) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.244 | task(15) Started,log(info).
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.251 | worker(0) Started,log(info)
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.256 | worker(1) Started,log(info)
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.261 | worker(2) Started,log(info)
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.266 | worker(3) Started,log(info)
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.270 | worker(4) Started,log(info)
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.275 | worker(5) Started,log(info)
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.280 | worker(6) Started,log(info)
2019-05-24 18:22:15 | INFO | 12123 | 5ce7c5d70c439 | 1558693335.285 | worker(7) Started,log(info)
2019-05-24 18:22:26 | INFO | 12160 | 5ce7c5e2db497 | 1558693346.929 | Serve Queue Started, Master pid is: 12160.
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.42 | task (8) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.49 | task (9) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.56 | task (10) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.63 | task (11) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.70 | task (12) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.77 | task (13) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.84 | task (14) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.92 | task (15) Started,log(info).
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.99 | worker (0) Started,log(info)
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.103 | worker (1) Started,log(info)
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.108 | worker (2) Started,log(info)
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.113 | worker (3) Started,log(info)
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.118 | worker (4) Started,log(info)
2019-05-24 18:22:27 | INFO | 12160 | 5ce7c5e2db497 | 1558693347.122 | worker (5) Started,log(info)
